발생지시도,발생지시군구,x,y
대전,유성구,127.3007423,36.35414606
대전,유성구,127.3243549,36.34619546
대전,유성구,127.3376644,36.37686659
대전,유성구,127.3549387,36.36212163
대전,유성구,127.3139791,36.31831306
대전,유성구,127.2558353,36.27981156
대전,유성구,127.3523749,36.35625848
대전,유성구,127.3850868,36.42502744
대전,유성구,127.3415155,36.35249417
대전,유성구,127.3311256,36.36403767
대전,유성구,127.3308766,36.35545467
대전,유성구,127.3252106,36.33234001
대전,유성구,127.3304382,36.35201016
대전,유성구,127.35462,36.35966906
대전,유성구,127.3787339,36.3782406
대전,유성구,127.3479882,36.34812109
